DOW,SP100,NAV
11428.56,1240.46,10.49
11476.54,1241.59,10.48
11457.47,1235.23,10.42
11499.25,1242.87,10.52
11491.91,1243.91,10.52
11478.13,1247.08,10.56
11533.16,1254.6,10.68
11559.49,1258.84,10.74
11573.49,1256.77,10.71
11555.03,1257.54,10.74
11575.54,1258.51,10.72
11585.38,1259.78,10.74
11569.71,1257.88,10.73
11577.51,1257.64,10.68
11670.75,1271.87,10.88
11691.18,1270.2,10.73
11722.89,1276.56,10.83
11697.31,1273.85,10.79
11674.76,1271.5,10.73
11637.45,1269.75,10.77
11671.88,1274.48,10.83
11755.44,1285.96,10.92
11731.9,1283.76,10.89
11787.38,1293.24,10.99
11837.93,1295.02,10.99
11825.29,1281.92,10.74
11822.8,1280.26,10.66
11871.84,1283.35,10.61
11980.52,1290.84,10.7
11977.19,1291.18,10.72
11985.44,1296.63,10.89
11989.83,1299.54,10.93
11823.7,1276.34,10.66
11891.93,1286.12,10.72
12040.16,1307.59,10.97
12041.97,1304.03,10.92
12062.26,1307.1,10.95
12092.15,1310.87,10.97
12161.63,1319.05,11.09
12233.15,1324.57,11.15
12239.89,1320.88,11.11
12229.29,1321.87,11.14
12273.26,1329.15,11.26
12268.19,1332.32,11.31
12226.64,1328.01,11.24
12288.17,1336.32,11.38
12318.14,1340.43,11.47
12391.25,1343.01,11.47
12212.79,1315.44,11.16
12105.78,1307.4,10.99
12068.5,1306.1,11.02
12130.45,1319.88,11.27
12226.34,1327.22,11.29
12058.02,1306.33,11.08
12066.8,1308.44,11.13
12258.2,1330.97,11.38
12169.88,1321.15,11.29
12090.03,1310.13,11.12
12214.38,1321.82,11.3
12213.09,1320.02,11.29
11984.61,1295.11,11
12044.4,1304.28,11.05
11993.16,1296.39,10.98
11855.42,1281.87,10.87
11613.3,1256.88,10.72
11774.59,1273.72,10.8
11858.52,1279.2,10.91
12036.53,1298.38,11.17
12018.63,1293.77,11.11
12086.02,1297.54,11.12
12170.56,1309.66,11.2
12220.59,1313.8,11.29
12197.88,1310.19,11.24
12279.01,1319.44,11.33
12350.61,1328.26,11.46
12319.73,1325.83,11.49
12376.72,1332.41,11.56
12400.03,1332.87,11.58
12393.9,1332.63,11.63
12426.75,1335.54,11.67
12409.49,1333.51,11.63
12380.05,1328.17,11.51
12381.11,1324.46,11.39
12263.58,1314.16,11.24
12270.99,1314.41,11.24
12285.15,1314.52,11.25
12341.83,1319.68,11.35
12201.59,1305.14,11.18
12266.75,1312.62,11.2
12453.54,1330.36,11.37
12505.99,1337.38,11.44
12479.88,1335.25,11.43
12595.37,1347.24,11.56
12690.96,1355.66,11.61
12763.31,1360.48,11.64
12810.54,1363.61,11.68
12807.36,1361.22,11.56
12807.51,1356.62,11.43
12723.58,1347.32,11.3
12584.17,1335.1,11.25
12638.74,1340.2,11.3
12684.68,1346.29,11.39
12760.36,1357.16,11.55
12630.03,1342.08,11.36
12695.92,1348.65,11.43
12595.75,1337.77,11.27
12548.37,1329.47,11.13
12479.58,1328.98,11.06
12560.18,1340.68,11.24
12605.32,1343.6,11.25
12512.04,1333.27,11.16
12381.26,1317.37,10.97
12356.21,1316.28,10.93
12394.66,1320.47,11.04
12402.76,1325.69,11.14
12441.58,1331.1,11.23
12569.79,1345.2,11.38
12290.14,1314.55,11.16
12248.55,1312.94,11.12
12151.26,1300.16,10.96
12089.96,1286.17,10.78
12070.81,1284.94,10.79
12048.94,1279.56,10.69
12124.36,1289,10.76
11951.91,1270.98,10.6
11952.97,1271.83,10.58
12076.11,1287.87,10.81
11897.27,1265.42,10.61
11961.52,1267.64,10.63
12004.36,1271.5,10.66
12080.38,1278.36,10.75
12190.01,1295.52,10.98
12109.67,1287.14,10.9
12050,1283.5,10.88
11934.58,1268.45,10.77
12043.56,1280.1,10.85
12188.69,1296.67,11.02
12261.42,1307.41,11.1
12414.34,1320.64,11.22
12582.77,1339.67,11.41
12569.87,1337.88,11.38
12626.02,1339.22,11.42
12719.49,1353.22,11.6
12657.2,1343.8,11.5
12505.76,1319.49,11.22
12446.88,1313.64,11.17
12491.61,1317.72,11.26
12437.12,1308.87,11.11
12479.73,1316.14,11.18
12385.16,1305.44,10.99
12587.42,1326.73,11.22
12571.91,1325.84,11.21
12724.41,1343.8,11.35
12681.16,1345.02,11.33
12592.8,1337.43,11.22
12501.3,1331.94,11.15
12302.55,1304.89,10.83
12240.11,1300.67,10.8
12143.24,1292.28,10.79
12132.49,1286.94,10.73
11866.62,1254.05,10.38
11896.44,1260.34,10.42
11383.68,1200.07,9.8
11444.61,1199.38,9.63
10809.85,1119.46,8.77
11239.77,1172.53,9.32
10719.94,1120.76,8.83
11143.31,1172.64,9.32
11269.02,1178.81,9.29
11482.9,1204.49,9.59
11405.93,1192.76,9.42
11410.21,1193.89,9.41
10990.58,1140.65,8.89
10817.65,1123.53,8.74
10854.65,1123.82,8.71
11176.76,1162.35,9.11
11320.71,1177.6,9.26
11149.82,1159.27,9.04
11284.54,1176.8,9.26
11539.25,1210.08,9.72
11559.95,1212.92,9.76
11613.53,1218.89,9.76
11493.57,1204.42,9.52
11240.26,1173.97,9.17
11139.3,1165.24,9.13
11414.86,1198.62,9.53
11295.81,1185.9,9.33
10992.13,1154.23,9.07
11061.12,1162.27,9.14
11105.85,1172.87,9.28
11246.73,1188.68,9.45
11433.18,1209.11,9.59
11509.09,1216.01,9.59
11401.01,1204.09,9.41
11408.66,1202.09,9.23
11124.84,1166.76,8.86
10733.83,1129.56,8.55
10771.48,1136.43,8.63
11043.86,1162.95,8.86
11190.69,1175.38,9.02
11010.9,1151.06,8.66
11153.98,1160.4,8.83
10913.38,1131.42,8.57
10655.3,1099.23,8.13
10808.71,1123.95,8.6
10939.95,1144.03,8.78
11123.33,1164.97,9
11103.12,1155.46,8.79
11433.18,1194.89,9.17
11416.3,1195.54,9.23
11518.85,1207.25,9.4
11478.13,1203.66,9.35
11644.49,1224.58,9.54
11397,1200.86,9.21
11577.05,1225.38,9.52
11504.62,1209.88,9.33
11541.78,1215.39,9.39
11808.79,1238.25,9.6
11913.62,1254.19,9.89
11706.62,1229.05,9.59
11869.04,1242,9.8
12208.55,1284.59,10.29
12231.11,1285.09,10.23
11955.01,1253.3,9.93
11657.96,1218.28,9.55
11836.04,1237.9,9.83
